"Microchip","dftd","Sex","age","Weight","Headwidth","year","TrapID"
"900164001721676",0,"Male",17,9.1,102.1,2019,"FNP091"
"900164001721678",1,"Female",20,5.8,97.6,2019,"FNP090"
"900164001721679",1,"Female",17,6.8,94.6,2019,"FNP078"
"900164001721680",0,"Male",20,7.2,107.4,2019,"FNP107"
"900164001721680",1,"Male",34,8.8,107.9,2021,"FNP111"
"900164001721680",0,"Male",26,8.2,107,2020,"FNP112"
"900164001721682",0,"Male",20,8.9,117.6,2019,"FNP090"
"900164001721693",1,"Female",32,6.5,97.1,2019,"FNP103"
"982000123209932",0,"Male",16,6.4,104,2011,"FNP104"
"982000123211274",0,"Female",16,5.2,101,2011,"FNP107"
"982000190522888",0,"Male",17,6.9,106,2012,"FNP102"
"982000190524191",0,"Male",20,7.9,114,2012,"FNP068"
"982000190530708",0,"Male",17,6.5,96,2012,"FNP089"
"982000190531286",0,"Female",17,5.1,102,2012,"FNP107"
"982000190533071",1,"Female",32,6.9,105,2012,"FNP044"
"982000190602511",0,"Female",32,7.2,105,2012,"FNP065"
"982000190602511",1,"Female",42,6.4,106,2013,"FNP073"
"982000190604384",0,"Female",19,5.6,100,2012,"FNP050"
"982000190604577",0,"Female",20,5.5,109,2012,"FNP061"
"982000190604577",0,"Female",30,7.5,106,2013,"FNP093"
"982000190604577",0,"Female",52,8,111,2015,"FNP072"
"982000190606075",1,"Male",32,8.9,118,2012,"FNP050"
"982000190607744",1,"Female",19,5.6,101,2012,"FNP054"
"982000190695064",1,"Male",42,9.4,126,2013,"FNP056"
"982000190695064",0,"Male",32,11.1,125,2012,"FNP054"
"982000190697786",1,"Male",32,8.7,116,2012,"FNP068"
"982000190699767",1,"Male",29,9.7,118,2012,"FNP123"
"982000190699853",0,"Male",17,6.9,111,2012,"FNP106"
"982000190700969",0,"Male",17,6.6,108,2012,"FNP138"
"982000190700969",0,"Male",17,6.6,108,2012,"FNP120"
"982000190700977",0,"Male",17,6.7,117,2012,"FNP096"
"982000190701241",1,"Female",17,7.2,103,2012,"FNP117"
"982000356426044",1,"Male",18,8.4,113.1,2015,"FNP057"
"982000356426044",0,"Male",14,7.6,106,2015,"FNP055"
"982000356426081",1,"Female",30,8.5,118.4,2016,"FNP103"
"982000356426081",1,"Female",28,8.2,108.8,2016,"FNP104"
"982000356426081",0,"Female",14,5.8,99,2015,"FNP102"
"982000356426081",0,"Female",16,6,99,2015,"FNP091"
"982000356426081",0,"Female",17,7.6,103.6,2015,"FNP100"
"982000356426081",1,"Female",21,6.2,103.7,2016,"FNP097"
"982000356426095",0,"Female",38,8.4,108,2015,"FNP108"
"982000356426095",0,"Female",32,6.3,99,2014,"FNP087"
"982000356426095",1,"Female",42,7.5,104,2015,"FNP104"
"982000356426095",1,"Female",40,8.1,103.4,2015,"FNP102"
"982000356486107",0,"Female",17,8,106.5,2015,"FNP091"
"982000356492284",1,"Female",42,8.3,108.7,2016,"FNP101"
"982000356492284",0,"Female",26,8.9,106,2015,"FNP089"
"982000356492284",0,"Female",20,8.4,97,2014,"FNP073"
"982000356497935",0,"Male",14,7.5,101,2015,"FNP024"
"982000356497935",0,"Male",39,9.8,111.7,2017,"FNP030"
"982000356497935",0,"Male",16,8,108,2015,"FNP018"
"982000356574280",0,"Female",32,10.4,110,2014,"FNP068"
"982000356574280",0,"Female",38,11.3,121,2015,"FNP058"
"982000356574417",1,"Male",29,10.4,119.7,2015,"FNP102"
"982000356574417",0,"Male",26,10.1,120,2015,"FNP104"
"982000356574417",1,"Male",33,11,119.4,2016,"FNP092"
"982000356574417",1,"Male",30,10.5,120.5,2015,"FNP102"
"982000356574417",0,"Male",20,8.8,93,2014,"FNP073"
